date,news_count,avg_sentiment,max_sentiment,min_sentiment,high_impact_count,medium_impact_count,negative_count
2018-11-10,21,-0.0566,0.8591,-0.7717,6,12,11
2018-11-11,37,-0.0408,0.6249,-0.7579,5,12,10
2018-11-12,59,0.0119,0.7717,-0.7003,12,32,22
2018-11-13,53,0.0096,0.7579,-0.7506,12,26,17
2018-11-14,70,-0.0176,0.802,-0.8225,19,32,26
2018-11-15,65,-0.0261,0.6486,-0.765,14,35,26
2018-11-16,48,0.1143,0.886,-0.5106,10,22,10
2018-11-17,13,0.0255,0.7783,-0.9081,3,8,5
2018-11-18,46,-0.1001,0.4939,-0.8625,10,19,16
2018-11-19,76,0.0659,0.7269,-0.6908,13,41,21
2018-11-20,83,0.0474,0.7096,-0.7579,23,35,26
2018-11-21,59,0.1375,0.8591,-0.6808,14,32,17
2018-11-22,63,0.0128,0.8779,-0.8201,17,24,18
2018-11-23,38,-0.0152,0.802,-0.807,8,17,10
2018-11-24,20,0.0227,0.6908,-0.5719,6,3,4
2018-11-25,13,0.1593,0.6369,-0.4588,2,4,1
2018-11-26,58,0.0526,0.765,-0.7783,18,19,15
2018-11-27,68,-0.0286,0.8074,-0.8591,18,23,25
2018-11-28,60,0.0423,0.8816,-0.875,11,25,17
2018-11-29,64,0.094,0.8689,-0.8074,16,24,15
2018-11-30,56,0.031,0.765,-0.8316,14,18,12
2018-12-01,15,-0.0234,0.8225,-0.7506,4,6,5
2018-12-02,31,-0.0274,0.6908,-0.5994,6,15,12
2018-12-03,71,0.0492,0.7964,-0.8225,13,25,16
2018-12-04,72,0.0901,0.7269,-0.765,8,45,18
2018-12-05,109,0.0678,0.7184,-0.6124,16,46,26
2018-12-06,93,-0.0338,0.6705,-0.8271,16,56,39
2018-12-07,51,-0.041,0.4767,-0.7717,5,30,19
2018-12-08,16,-0.0452,0.6249,-0.8074,4,9,7
2018-12-09,17,0.1585,0.6705,-0.6908,8,3,3
2018-12-10,99,-0.038,0.7717,-0.6486,13,58,40
2018-12-11,78,0.0095,0.6808,-0.7876,14,39,28
2018-12-12,96,0.0604,0.8176,-0.7906,18,34,21
2018-12-13,83,0.133,0.8316,-0.7845,19,39,14
2018-12-14,59,-0.0008,0.7783,-0.7088,8,24,16
2018-12-15,12,0.042,0.7906,-0.5994,4,5,5
2018-12-16,15,-0.1446,0.5719,-0.8316,5,8,8
2018-12-17,63,0.0884,0.7269,-0.9001,11,25,11
2018-12-18,61,-0.0647,0.5994,-0.875,14,28,23
2018-12-19,62,0.07,0.765,-0.6249,9,35,20
2018-12-20,60,0.0015,0.7964,-0.8689,18,19,16
2018-12-21,56,-0.0753,0.765,-0.743,8,30,25
2018-12-22,17,-0.143,0.6369,-0.7184,4,5,6
2018-12-23,26,-0.0524,0.3818,-0.8126,4,10,7
2018-12-24,48,0.054,0.7579,-0.802,15,22,14
2018-12-25,22,-0.1114,0.7003,-0.7579,6,9,10
2018-12-26,70,0.0095,0.765,-0.8442,16,34,23
2018-12-27,3,-0.1953,0.0,-0.5859,1,0,1
2018-12-28,8,-0.0596,0.3818,-0.5859,1,5,3
2018-12-29,1,0.6249,0.6249,0.6249,1,0,0
2018-12-30,2,-0.0078,0.5267,-0.5423,2,0,1
2018-12-31,9,-0.031,0.4939,-0.7906,2,4,3
2019-01-01,41,0.0987,0.7964,-0.6249,8,16,7
2019-01-02,46,0.0676,0.8074,-0.743,12,17,11
2019-01-03,61,0.0513,0.872,-0.5719,11,26,14
2019-01-04,54,0.0573,0.8176,-0.7783,14,21,15
2019-01-05,7,0.0202,0.296,-0.4019,0,6,2
2019-01-06,27,-0.1882,0.7781,-0.872,13,9,15
2019-01-07,61,0.0055,0.8957,-0.872,16,30,22
2019-01-08,58,0.0907,0.6597,-0.765,10,22,8
2019-01-09,49,0.0731,0.765,-0.7096,9,21,13
2019-01-10,62,0.0401,0.7579,-0.7579,8,35,20
2019-01-11,41,-0.0639,0.6841,-0.7645,9,17,14
2019-01-12,5,0.1165,0.3818,-0.2732,0,5,2
2019-01-13,14,-0.1643,0.3182,-0.5994,4,2,5
2019-01-14,61,0.0431,0.8246,-0.8834,15,28,22
2019-01-15,51,0.2592,0.8531,-0.5023,17,18,6
2019-01-16,49,0.132,0.8074,-0.6124,7,23,7
2019-01-17,45,0.0367,0.8591,-0.7351,13,18,13
2019-01-18,47,-0.0219,0.7269,-0.6597,12,19,17
2019-01-19,19,0.0405,0.6486,-0.6597,5,6,5
2019-01-20,13,0.0399,0.4215,-0.5719,1,5,2
2019-01-21,32,0.003,0.7783,-0.8316,8,15,10
2019-01-22,39,0.1311,0.802,-0.765,11,15,8
2019-01-23,38,0.1419,0.802,-0.8402,11,12,6
2019-01-24,50,0.0905,0.7003,-0.6249,12,22,13
2019-01-25,41,0.1075,0.765,-0.8074,11,19,12
2019-01-26,5,-0.1018,0.2263,-0.7351,1,1,1
2019-01-27,17,-0.0185,0.7717,-0.4767,1,7,5
2019-01-28,39,0.08,0.7717,-0.6597,7,20,9
2019-01-29,47,-0.0102,0.802,-0.9136,13,20,16
2019-01-30,42,0.1184,0.7351,-0.7906,16,14,10
2019-01-31,52,0.0788,0.7845,-0.6555,13,19,12
2019-02-01,65,0.1851,0.8126,-0.5574,18,30,14
2019-02-02,14,0.015,0.4767,-0.5106,1,8,3
2019-02-03,13,-0.1002,0.4404,-0.8316,2,3,4
2019-02-04,45,0.0232,0.7717,-0.7003,11,18,15
2019-02-05,34,0.0425,0.891,-0.7096,12,14,14
2019-02-06,57,0.1299,0.836,-0.6249,19,17,11
2019-02-07,107,0.112,0.875,-0.7579,18,70,31
2019-02-08,58,-0.0167,0.6428,-0.7096,13,30,22
2019-02-09,12,-0.0413,0.5106,-0.6369,2,8,6
2019-02-10,10,0.287,0.7034,-0.1779,2,5,1
2019-02-11,41,0.0908,0.9062,-0.7269,10,21,12
2019-02-12,44,0.034,0.8074,-0.5719,8,23,14
2019-02-13,52,0.0631,0.765,-0.6369,15,19,15
2019-02-14,34,-0.0413,0.8316,-0.7717,9,15,15
2019-02-15,30,0.11,0.802,-0.7579,11,12,7
2019-02-16,12,-0.2305,0.3818,-0.7783,3,7,7
2019-02-17,17,-0.0981,0.5319,-0.8519,5,8,6
2019-02-18,59,-0.0726,0.765,-0.9001,16,23,26
2019-02-19,32,0.1469,0.8126,-0.7906,6,15,6
2019-02-20,39,0.0556,0.8625,-0.7906,14,16,13
2019-02-21,45,0.1472,0.802,-0.6124,10,23,11
2019-02-22,36,0.0311,0.5994,-0.7579,4,23,13
2019-02-23,6,0.2064,0.6908,-0.2732,1,3,1
2019-02-24,9,-0.0099,0.5106,-0.5994,2,0,1
2019-02-25,40,0.0149,0.7184,-0.8402,13,20,15
2019-02-26,24,-0.1194,0.5994,-0.836,6,12,11
2019-02-27,46,-0.0452,0.8126,-0.7964,14,22,18
2019-02-28,39,0.0182,0.7351,-0.8126,12,11,11
2019-03-01,49,0.1592,0.8091,-0.765,13,20,8
2019-03-02,12,-0.2616,0.1027,-0.6486,2,7,8
2019-03-03,3,-0.0754,0.0,-0.2263,0,1,1
2019-03-04,18,0.0353,0.6486,-0.6124,6,6,6
2019-03-05,40,0.1164,0.8074,-0.6249,8,21,10
2019-03-06,37,0.1309,0.9062,-0.6369,8,16,9
2019-03-07,36,0.1011,0.784,-0.7096,10,13,9
2019-03-08,28,0.0425,0.6808,-0.4404,1,19,9
2019-03-09,7,-0.0599,0.7579,-0.5719,2,3,4
2019-03-10,6,-0.1594,0.3818,-0.5719,2,3,4
2019-03-11,51,-0.0368,0.9081,-0.7789,13,22,21
2019-03-12,49,0.0702,0.7184,-0.7184,9,22,13
2019-03-13,45,0.0451,0.7096,-0.8519,10,19,14
2019-03-14,49,0.1133,0.891,-0.6249,10,13,7
2019-03-15,50,0.1202,0.8591,-0.6705,16,18,12
2019-03-16,10,0.0077,0.6166,-0.5994,2,4,3
2019-03-17,20,-0.0852,0.7845,-0.6486,4,6,7
2019-03-18,40,0.0334,0.6908,-0.765,10,15,12
2019-03-19,41,0.0912,0.8519,-0.7351,7,14,6
2019-03-20,28,0.0733,0.8074,-0.7096,3,12,4
2019-03-21,9,-0.1843,0.4404,-0.6249,2,4,5
2019-03-22,36,0.1462,0.8126,-0.5719,10,17,9
2019-03-23,11,0.0545,0.4926,-0.6229,1,6,2
2019-03-24,17,0.0748,0.6486,-0.6293,4,9,5
2019-03-25,42,0.0027,0.7184,-0.6808,5,19,12
2019-03-26,42,0.0584,0.7269,-0.8402,14,16,11
2019-03-27,32,0.0737,0.8074,-0.7269,10,12,9
2019-03-28,39,0.0951,0.7351,-0.7351,12,12,9
2019-03-29,34,0.1682,0.8455,-0.8074,13,15,8
2019-03-30,14,-0.1991,0.296,-0.7096,2,9,8
2019-03-31,10,0.0266,0.6096,-0.2732,1,3,2
2019-04-01,38,0.1872,0.6908,-0.5719,7,13,2
2019-04-02,69,0.0235,0.8074,-0.8126,14,30,21
2019-04-03,42,0.0721,0.765,-0.3182,6,14,9
2019-04-04,99,0.0053,0.7842,-0.7845,12,55,33
2019-04-05,58,0.0407,0.9062,-0.9287,17,21,18
2019-04-06,14,0.0869,0.6597,-0.6597,3,7,4
2019-04-07,11,-0.1739,0.0,-0.7003,3,1,4
2019-04-08,52,0.0944,0.836,-0.6249,14,18,11
2019-04-09,45,0.0657,0.75,-0.7003,5,26,12
2019-04-10,37,-0.0233,0.7906,-0.5994,9,20,16
2019-04-11,31,0.0622,0.8519,-0.802,7,13,9
2019-04-12,42,-0.0084,0.5267,-0.5994,5,18,12
2019-04-13,17,0.0808,0.5994,-0.6808,4,7,4
2019-04-14,14,-0.0382,0.34,-0.6705,1,5,3
2019-04-15,45,0.1134,0.8316,-0.5994,7,15,6
2019-04-16,34,0.1392,0.6908,-0.5423,6,9,3
2019-04-17,22,0.0313,0.6597,-0.7889,5,8,6
2019-04-18,30,0.0638,0.7269,-0.6705,5,18,11
2019-04-19,19,0.067,0.7096,-0.5994,5,10,6
2019-04-20,8,0.17,0.8176,0.0,2,0,0
2019-04-21,17,0.1962,0.6597,-0.8807,5,8,3
2019-04-22,37,0.0918,0.802,-0.5719,9,16,10
2019-04-23,42,0.1111,0.8126,-0.7906,8,19,8
2019-04-24,51,0.133,0.8591,-0.765,14,26,11
2019-04-25,51,0.1112,0.7845,-0.8176,8,32,12
2019-04-26,41,0.0811,0.8986,-0.7096,12,18,11
2019-04-27,10,0.2188,0.7579,-0.3328,2,6,2
2019-04-28,7,0.0852,0.4019,-0.5719,1,5,2
2019-04-29,28,0.0531,0.7964,-0.765,7,14,8
2019-04-30,43,0.1025,0.8091,-0.7096,12,20,12
2019-05-01,26,-0.0062,0.8271,-0.7906,7,7,8
2019-05-02,35,0.0972,0.765,-0.7579,10,18,12
2019-05-03,33,-0.0288,0.8316,-0.7717,8,11,9
2019-05-04,15,0.0825,0.5319,-0.4019,1,10,4
2019-05-05,8,0.0715,0.5719,0.0,1,0,0
2019-05-06,49,-0.0001,0.6124,-0.8126,11,29,18
2019-05-07,64,0.0113,0.6908,-0.8316,15,28,17
2019-05-08,48,-0.0663,0.6908,-0.7717,9,23,21
2019-05-09,54,0.0877,0.8442,-0.875,15,26,17
2019-05-10,44,-0.0559,0.8074,-0.7717,11,17,15
2019-05-11,13,0.0264,0.7096,-0.7096,4,3,3
2019-05-12,14,-0.4257,0.3818,-0.8316,8,5,11
2019-05-13,61,-0.0307,0.802,-0.8316,21,23,24
2019-05-14,60,-0.2427,0.6369,-0.872,23,29,39
2019-05-15,38,0.0735,0.743,-0.6908,11,20,11
2019-05-16,42,0.0837,0.7269,-0.8126,15,13,10
2019-05-17,47,0.0043,0.8986,-0.8074,14,20,16
2019-05-18,10,-0.1005,0.6908,-0.8189,3,2,3
2019-05-19,24,0.1362,0.7579,-0.5994,11,5,6
2019-05-20,40,0.2265,0.9246,-0.8316,16,17,9
2019-05-21,34,0.1153,0.7717,-0.765,12,12,7
2019-05-22,45,0.1004,0.7506,-0.891,9,18,5
2019-05-23,42,0.1611,0.7579,-0.765,21,12,11
2019-05-24,48,0.2023,0.872,-0.7906,22,16,12
2019-05-25,22,-0.0136,0.6705,-0.802,5,12,7
2019-05-26,14,0.1522,0.6369,-0.5994,3,8,3
2019-05-27,34,0.0754,0.8455,-0.8126,9,19,9
